,name,id
44,ООО  НАУЧНО - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ РУСРЕДМЕТ,1177746349483-ooo-nauchno-proizvodstvennoe-obedinenie-rusredmet
45,ООО  ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ РЗК,1051801429206-ooo-proizvodstvennaya-kompaniya-rzk
46,ООО  АРДЕНА,1213100004171-obschestvo-s-ogranichennoj-otvetstvennostyu-ardena
47,ООО  РУСАЛ ТАЙШЕТСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД,1063815015494-ooo-rusal-tajshetskij-alyuminievyij-zavod
48,ООО  ТЕРМИШИН РУС,1145032002158-ooo-termishin-rus
49,ООО  НЛМК - КАЛУГА,1124025005873-ooo-nlmk-kaluga
50,ООО  УДОКАНСКАЯ МЕДЬ,1087536009857-ooo-bajkalskaya-gornaya-kompaniya
51,АО  РУСАЛ САЯНОГОРСКИЙ АЛЮМИНИЕВЫЙ ЗАВОД,1021900670758-ao-rusal-sayanogorskij-alyuminievyij-zavod
52,АО  ЧЕЛЯБИНСКИЙ ЭЛЕКТРОМЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1027402319361-ao-chelyabinskij-elektrometallurgicheskij-kombinat
53,АО  МАГНИТОГОРСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1027402166835-pao-magnitogorskij-metallurgicheskij-kombinat
54,АО  ГАЗПРОМТРУБИНВЕСТ,1024402233173-oao-gazpromtrubinvest
55,ООО  ФИНАНСОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ФОРТА,5147746266135-ooo-finansovo-promyishlennaya-kompaniya-forta
56,ООО  ОМЗ-СПЕЦСТАЛЬ,1026605609348-ooo-omz-spetsstal
57,АО  НОВОЛИПЕЦКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1024800823123-pao-novolipetskij-metallurgicheskij-kombinat
58,АО  ВОЛГОГРАДСКИЙ МЕХАНИЧЕСКИЙ ЗАВОД КРАСНЫЙ ОКТЯБРЬ,1133443022613-ao-volgogradskij-mehanicheskij-zavod-krasnyij-oktyabr
59,АО  ЕВРАЗ НИЖНЕТАГИЛЬСКИЙ МЕТАЛЛУРГИЧЕСКИЙ КОМБИНАТ,1026601367539-ao-evraz-nizhnetagilskij-metallurgicheskij-kombinat
60,АО  СУЭК-КУЗБАСС,1074212001368-ao-suek-kuzbass
61,ООО  УГОЛЬНАЯ КОМПАНИЯ МЕЖЕГЕЙУГОЛЬ,1094220004031-ooo-ugolnaya-kompaniya-mezhegejugol
62,ООО  ШАХТА ЛИСТВЯЖНАЯ,1025403911664-ooo-shahta-listvyazhnaya
63,ООО  ММК-УГОЛЬ,1164205068598-ooo-mmk-ugol
64,АО  УГОЛЬНАЯ КОМПАНИЯ КУЗБАССРАЗРЕЗУГОЛЬ,1034205040935-ao-ugolnaya-kompaniya-kuzbassrazrezugol
65,АО  РАСПАДСКАЯ-КОКСОВАЯ,1034214000150-ao-raspadskaya-koksovaya
66,ООО  ЭЛЬГАУГОЛЬ,1131434000961-ooo-elgaugol
67,АО  ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМПЛЕКС ДЕНИСОВСКИЙ,1031401726157-ao-gorno-obogatitelnyij-kompleks-denisovskij
68,ООО  БАЙКАЛИНВЕСТЭНЕРГО,1023801005084-ooo-bajkalinvestenergo
